TB3MS
0.06
0.11
0.15
0.16
0.16
0.12
0.16
0.16
0.15
0.13
0.14
0.14
0.15
0.13
0.10
0.06
0.04
0.04
0.04
0.02
0.01
0.02
0.01
0.01
0.03
0.09
0.08
0.08
0.09
0.09
0.10
0.10
0.11
0.10
0.09
0.07
0.07
0.10
0.09
0.06
0.04
0.05
0.04
0.04
0.02
0.05
0.07
0.07
0.04
0.05
0.05
0.03
0.03
0.04
0.03
0.03
0.02
0.02
0.02
0.03
0.03
0.02
0.03
0.02
0.02
0.02
0.03
0.07
0.02
0.02
0.12
0.23
0.26
0.31
0.29
0.23
0.27
0.27
0.30
0.30
0.29
0.33
0.45
0.51
0.51
0.52
0.74
0.80
0.89
0.98
1.07
1.01
1.03
1.07
1.23
1.32
1.41
1.57
1.70
1.76
1.86
1.90
1.96
2.03
2.13
2.25
2.33
2.37
2.37
2.39
2.40
2.38
2.35
2.17
2.10
1.95
1.89
1.65
1.54
1.54
1.52
1.52
0.29
0.14
0.13
0.16
0.13
0.10
0.11
0.10
0.09
0.09
